matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,heavy_static_16_time,heavy_static_16_cycle,heavy_static_16_perms,heavy_static_16_planes,heavy_static_16_split,heavy_static_2_time,heavy_static_2_cycle,heavy_static_2_perms,heavy_static_2_planes,heavy_static_2_split,heavy_static_4_time,heavy_static_4_cycle,heavy_static_4_perms,heavy_static_4_planes,heavy_static_4_split,heavy_static_8_time,heavy_static_8_cycle,heavy_static_8_perms,heavy_static_8_planes,heavy_static_8_split
459,7809,8431.0,1.236730600008741,heavy_static,0.277683199965395,9071.0,1848,3,,0.0150175999151542,11737.0,665,9,,0.0608358999015763,10727.0,939,5,,0.1417859999928623,10327.0,1364,3,
460,7596,8150.0,1.235510400001658,heavy_static,0.2793581000296399,8806.0,1830,3,,0.01639750006143,11354.0,672,9,,0.063711900031194,10310.0,943,5,,0.1493060999782756,9902.0,1384,3,
461,7658,8234.0,1.326038700004574,heavy_static,0.2465230000670999,8842.0,1763,3,,0.0219450999284163,11704.0,654,9,,0.0579701999668031,10322.0,905,5,,0.1392546000424772,10010.0,1371,3,
462,7266,7758.0,0.9792729999753648,heavy_static,0.2397280000150203,8382.0,1692,3,,0.0154714999953284,10430.0,622,9,,0.0591165999649092,9638.0,869,5,,0.1371855000033974,9334.0,1288,3,
463,7634,8223.0,1.169388500013156,heavy_static,0.298553799977526,8879.0,1782,3,,0.0185848999535664,11291.0,651,9,,0.0706832000287249,10407.0,911,5,,0.1741082000080496,10191.0,1348,3,
464,7804,8424.0,1.2265951999870597,heavy_static,0.3376997000304982,9080.0,1810,3,,0.0227843999164178,11604.0,669,9,,0.0722190000815317,10508.0,925,5,,0.1513448000187054,10128.0,1395,3,
465,7671,8235.0,1.1206602999882307,heavy_static,0.3217145999660715,8939.0,1851,3,,0.017042800085619,11751.0,667,9,,0.0685515999794006,10227.0,929,5,,0.1675399000523612,9875.0,1373,3,
466,7554,8129.0,1.163670399982948,heavy_static,0.3125575000885874,8801.0,1872,3,,0.016396400053054,11225.0,675,9,,0.0674767000600695,10293.0,941,5,,0.1369064999744296,9929.0,1399,3,
467,7704,8243.0,1.0228226000035647,heavy_static,0.2534717000089586,8899.0,1791,3,,0.0177619000896811,11173.0,654,9,,0.0720470000524073,10047.0,903,5,,0.1739032999612391,9715.0,1347,3,
468,7780,8358.0,1.2095040999993216,heavy_static,0.2680449999170378,8950.0,1786,3,,0.0209768000058829,11468.0,656,9,,0.062613800051622,10418.0,905,5,,0.1359465999994427,10046.0,1343,3,
469,8183,8804.0,1.1025767999817615,heavy_static,0.2640977998962626,9428.0,1822,3,,0.0204411000013351,12026.0,663,9,,0.0731357999611646,10740.0,929,5,,0.1573273999383673,10420.0,1381,3,
470,7895,8459.0,1.2192731999966782,heavy_static,0.2830273000290617,9083.0,1819,3,,0.0163606000132858,11587.0,661,9,,0.0599048999138176,10547.0,923,5,,0.1456087999977171,10219.0,1359,3,
471,7675,8250.0,1.0582829999912065,heavy_static,0.2924351999536156,8874.0,1796,3,,0.0220714000752195,11440.0,660,9,,0.0628723999252542,10174.0,907,5,,0.1420170000055804,9850.0,1354,3,
472,7588,8132.0,1.1937521000218112,heavy_static,0.2682187999598682,8756.0,1793,3,,0.0183061999268829,10958.0,650,9,,0.0705450000241398,10204.0,922,5,,0.1508488999679684,9900.0,1346,3,
473,7437,7969.0,0.9816394000081344,heavy_static,0.2881940000224858,8833.0,1726,3,,0.0143925999291241,11201.0,635,9,,0.0589110000291839,10081.0,873,5,,0.1263653000351041,9513.0,1305,3,
474,7681,8230.0,1.1807870999909935,heavy_static,0.2805943000130355,8854.0,1796,3,,0.0225228000199422,11616.0,665,9,,0.0704146999632939,10446.0,928,5,,0.1673317999811843,10174.0,1350,3,
475,7483,8017.0,1.0125220000045374,heavy_static,0.3075801000231877,8657.0,1804,3,,0.0163167000282555,11251.0,650,9,,0.0723667000420391,9821.0,911,5,,0.1420867999549955,9585.0,1322,3,
476,8021,8608.0,1.244646199978888,heavy_static,0.3301585000008344,9216.0,1889,3,,0.0733976999763399,11830.0,670,9,,0.069252600078471,10512.0,939,5,,0.1468741999706253,10232.0,1405,3,
477,7609,8200.0,1.243966400012141,heavy_static,0.3364550999831408,8824.0,1807,3,,0.0162041999865323,11120.0,646,9,,0.0679329000413417,9968.0,899,5,,0.1509797000326216,9648.0,1348,3,
478,7370,7865.0,0.9657511999830604,heavy_static,0.3088811000343412,8521.0,1809,3,,0.0201023999834433,10877.0,643,9,,0.0643661000067368,9909.0,906,5,,0.1367424000054597,9625.0,1345,3,
479,7164,7661.0,1.1166859999939334,heavy_static,0.249199700076133,8269.0,1745,3,,0.0160325999604538,10795.0,637,9,,0.060562599916011,9749.0,897,5,,0.1388449999503791,9429.0,1330,3,
480,7763,8364.0,1.0366485999838917,heavy_static,0.2943574000382796,8988.0,1794,3,,0.0191187000600621,11336.0,654,9,,0.0664002998964861,10288.0,919,5,,0.1535548999672755,10012.0,1373,3,
481,7804,8361.0,1.19922989999759,heavy_static,0.2656738000223413,8969.0,1790,3,,0.0209598999936133,11703.0,655,9,,0.061514800065197,10165.0,922,5,,0.1349457999458536,9865.0,1358,3,
482,7871,8513.0,1.061922199995024,heavy_static,0.272393999970518,9185.0,1797,3,,0.0173992000054568,11721.0,668,9,,0.0604107999242842,10809.0,935,5,,0.1462925999658182,10441.0,1367,3,
483,8041,8666.0,1.2654977000202052,heavy_static,0.31875780003611,9594.0,1807,3,,0.0208321999525651,12006.0,660,9,,0.0716398000949993,10922.0,927,5,,0.1712026000022888,10322.0,1406,3,
484,7898,8494.0,1.2099180000077467,heavy_static,0.2756671000970527,9070.0,1801,3,,0.0225678998976945,12042.0,672,9,,0.0663917999481782,10462.0,935,5,,0.1452601000200957,10094.0,1383,3,
485,7890,8510.0,1.42112770001404,heavy_static,0.2903726999647915,9134.0,1810,3,,0.0169271999038755,11598.0,662,9,,0.0613717000233009,10446.0,923,5,,0.1416618999792263,10014.0,1362,3,
486,7770,8304.0,1.1002067000081297,heavy_static,0.2999203000217676,8944.0,1757,3,,0.0169645999558269,11744.0,658,9,,0.0641860000323504,10064.0,904,5,,0.1457749999826774,9776.0,1353,3,
487,7597,8149.0,1.1932948000030592,heavy_static,0.2726704999804497,9029.0,1749,3,,0.0160186999710276,11139.0,655,9,,0.0592737999977543,10313.0,905,5,,0.1351990000111982,9717.0,1347,3,
488,7994,8577.0,1.0543879000179004,heavy_static,0.274985000025481,9185.0,1798,3,,0.0236714000348001,11561.0,661,9,,0.0742691999766975,10713.0,944,5,,0.15874199999962,10369.0,1381,3,
489,7310,7816.0,1.2805370000132823,heavy_static,0.315751300076954,8472.0,1764,3,,0.0162505999905988,11047.0,655,9,,0.063957699923776,9776.0,914,5,,0.1394119000760838,9440.0,1357,3,
490,7297,7774.0,1.1926165999902878,heavy_static,0.2769282000372186,8430.0,1787,3,,0.0156306000426411,10864.0,650,9,,0.0572732000146061,9818.0,917,5,,0.1305558000458404,9422.0,1337,3,
491,7581,8167.0,1.028812900010962,heavy_static,0.3125676000490784,8823.0,1819,3,,0.0228967000730335,11129.0,664,9,,0.0637887000339105,10095.0,928,5,,0.1351603999501094,9719.0,1352,3,
492,7789,8375.0,1.2080903000023682,heavy_static,0.2811797000467777,8967.0,1732,3,,0.0163074999582022,11395.0,651,9,,0.0627710999688133,10175.0,893,5,,0.1437834999524057,9815.0,1339,3,
