matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
86,472,8087.0,0.7930140999960713,maximum,0.3680125999962911,8087.0,509,2,0.021081100014271215,0.17532770000980236,8087.0,563,4,0.03442690000520088,0.09259059999021702,8087.0,671,8,0.04478450000169687
87,481,8234.0,0.7612599999993108,maximum,0.33733359997859225,8234.0,509,2,0.016280200012261048,0.14690210000844672,8234.0,558,4,0.031162200000835583,0.0769731999898795,8234.0,671,8,0.0401881999860052
88,481,8513.0,0.7244360000186134,maximum,0.33479259998421185,8513.0,505,2,0.01872579997871071,0.15117599998484366,8513.0,565,4,0.03364450001390651,0.09593929999391548,8513.0,674,8,0.04512519997661002
89,476,8332.0,0.7097904000256676,maximum,0.31882889999542385,8332.0,511,2,0.016581700008828193,0.14521710001281463,8332.0,561,4,0.02880100000766106,0.08830449997913092,8332.0,675,8,0.0394877000071574
90,481,8425.0,0.7268306000041775,maximum,0.34077779998187907,8425.0,513,2,0.0209869000245817,0.15484079997986555,8425.0,565,4,0.03228289997787215,0.09072040001046844,8425.0,675,8,0.04245690000243485
91,464,7584.0,0.6654299999936484,maximum,0.31926499999826774,7584.0,494,2,0.015950300003169104,0.1402044999995269,7584.0,552,4,0.02690759999677539,0.0741351000033319,7584.0,654,8,0.03568570001516491
92,482,8324.0,0.7039426999981515,maximum,0.35039759997744113,8324.0,512,2,0.019743500015465543,0.16984300001058728,8324.0,575,4,0.029608800017740577,0.07717570001841523,8324.0,681,8,0.04119190000346862
93,476,7729.0,0.737464399979217,maximum,0.3384897999931127,7729.0,502,2,0.017024100001435727,0.1498717999784276,7729.0,556,4,0.02921290000085719,0.0824535999854561,7729.0,658,8,0.04170229998999275
94,475,8057.0,0.7297507000039332,maximum,0.3135818000009749,8057.0,505,2,0.017944499995792285,0.14106670001638122,8057.0,556,4,0.031077000021468848,0.0842578999872785,8057.0,663,8,0.03872609999962151
95,473,8407.0,0.6983446000085678,maximum,0.3222130000067409,8407.0,509,2,0.020519200013950467,0.15694840002106503,8407.0,563,4,0.03054789997986518,0.08560990000842139,8407.0,674,8,0.04074270001729019
96,469,7715.0,0.6684887000010349,maximum,0.31641319999471307,7715.0,499,2,0.016864199977135286,0.140296199999284,7715.0,550,4,0.026463499991223216,0.07987950000097044,7715.0,661,8,0.041921399999409914
97,484,7924.0,0.7276247999980114,maximum,0.32830950000789016,7924.0,506,2,0.01590530000976287,0.15652980000595562,7924.0,562,4,0.03086050000274554,0.08976659999461845,7924.0,673,8,0.03862269999808632
