matrix,engine,framework,ttfp_ms
10,WFA,BvN,0.1188000023830682
10,WFA,Radix B2,3.033900007721968
10,WFA,Radix B4,1.6198000084841624
10,WFA,Radix B8,0.8958999969763681
10,WFA,Radix B16,0.8499999967170879
10,WFA,Euler d1,21.79580001393333
10,WFA,Euler d2,33.34119998908136
10,WFA,Euler d3,37.97530000156257
10,WFA,Euler d4,42.99470002297312
10,GW (dyn=stat),BvN,1.6807000065455213
10,GW (dyn=stat),Radix B2,3.3017000096151605
10,GW (dyn=stat),Radix B4,1.8195000011473894
10,GW (dyn=stat),Radix B8,1.6395999991800636
10,GW (dyn=stat),Radix B16,1.247400010470301
10,GW (dyn=stat),Euler d1,23.608300005435012
10,GW (dyn=stat),Euler d2,33.19709999777842
10,GW (dyn=stat),Euler d3,39.08119998231996
10,GW (dyn=stat),Euler d4,44.117700002971105
11,Hungarian,BvN,1.3472999999066815
11,Hungarian,Radix B2,2.6633999950718135
11,Hungarian,Radix B4,1.5955000126268715
11,Hungarian,Radix B8,1.2567999947350472
11,Hungarian,Radix B16,1.3270000054035336
11,Hungarian,Euler d1,23.834999999962747
11,Hungarian,Euler d2,35.39000001910608
11,Hungarian,Euler d3,41.028399995411746
11,Hungarian,Euler d4,46.46030001458712
11,WFA,BvN,0.10959999053739011
11,WFA,Radix B2,3.020799995283596
11,WFA,Radix B4,1.4516000082949176
11,WFA,Radix B8,0.8850999874994159
11,WFA,Radix B16,0.8496999944327399
11,WFA,Euler d1,22.289999993517995
11,WFA,Euler d2,33.59059999638703
11,WFA,Euler d3,40.916800004197285
11,WFA,Euler d4,44.86309998901561
11,GW (dyn=stat),BvN,1.6446000081487
11,GW (dyn=stat),Radix B2,3.1414999830303714
11,GW (dyn=stat),Radix B4,1.806199987186119
11,GW (dyn=stat),Radix B8,1.4707000082125887
11,GW (dyn=stat),Radix B16,1.3903000071877614
11,GW (dyn=stat),Euler d1,21.84570000099484
11,GW (dyn=stat),Euler d2,34.48749998642597
11,GW (dyn=stat),Euler d3,42.68499999307096
11,GW (dyn=stat),Euler d4,43.817700003273785
12,Hungarian,BvN,1.0360000014770776
12,Hungarian,Radix B2,3.0984999903012067
12,Hungarian,Radix B4,1.697800005786121
12,Hungarian,Radix B8,1.18010000733193
12,Hungarian,Radix B16,1.0562000243226066
12,Hungarian,Euler d1,22.408599994378164
12,Hungarian,Euler d2,33.64480000163894
12,Hungarian,Euler d3,39.04099999635946
12,Hungarian,Euler d4,44.35319997719489
12,WFA,BvN,0.11920000542886555
12,WFA,Radix B2,2.8313000075286254
