matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,wfa_16_time,wfa_16_cycle,wfa_16_perms,wfa_16_planes,wfa_16_split,wfa_2_time,wfa_2_cycle,wfa_2_perms,wfa_2_planes,wfa_2_split,wfa_4_time,wfa_4_cycle,wfa_4_perms,wfa_4_planes,wfa_4_split,wfa_8_time,wfa_8_cycle,wfa_8_perms,wfa_8_planes,wfa_8_split
286,10127,11407.0,1.5887945000140462,wfa,0.3065332000842318,11664.0,2362,3,,0.0260275000473484,13108.0,795,9,,0.0674270000308752,12256.0,1134,5,,0.1466635999968275,11855.0,1704,3,
287,10028,11345.0,1.6493578999943566,wfa,0.2914134000893682,11668.0,2279,3,,0.0224914998980239,12862.0,791,9,,0.0653423999901861,12010.0,1118,5,,0.1439025000436231,11715.0,1662,3,
288,10797,12133.0,1.471051600005012,wfa,0.2803757000947371,12412.0,2267,3,,0.0258759999414905,13842.0,784,9,,0.0688591999933123,13278.0,1126,5,,0.1530803000787273,12927.0,1689,3,
289,10376,11674.0,1.8509094000037292,wfa,0.3120681000873446,11996.0,2363,3,,0.0265857999911531,12984.0,812,9,,0.0664801000384613,12731.0,1161,5,,0.1516243000514805,12536.0,1743,3,
290,10821,12281.0,1.9856713000044688,wfa,0.307707899948582,12670.0,2401,3,,0.026641699951142,13292.0,802,9,,0.0706640999997034,12866.0,1160,5,,0.1515927000436931,12491.0,1717,3,
291,10821,12331.0,1.857198999990942,wfa,0.3075786000117659,12517.0,2405,3,,0.0264548000413924,13957.0,822,9,,0.0678896000608801,12932.0,1165,5,,0.1517956999596208,12821.0,1732,3,
292,10329,11992.0,1.7669501999916974,wfa,0.3061532999854535,12418.0,2375,3,,0.0253742999630048,13549.0,826,9,,0.0673561000730842,12851.0,1162,5,,0.1486464999616146,12588.0,1740,3,
293,10245,11712.0,1.974527799990028,wfa,0.3099550000624731,12081.0,2377,3,,0.0276434000115841,13207.0,808,9,,0.0677310000173747,12303.0,1156,5,,0.1502478999318555,12037.0,1732,3,
294,10498,12016.0,1.842090799997095,wfa,0.304094500024803,12310.0,2366,3,,0.027299299952574,13228.0,800,9,,0.0678945999825373,12451.0,1142,5,,0.1558392000151798,12193.0,1713,3,
295,10408,11908.0,1.7919478999974672,wfa,0.3033525999635458,12373.0,2371,3,,0.0245603000512346,13504.0,810,9,,0.0677103999769315,12706.0,1150,5,,0.1426755000138655,12091.0,1696,3,
