matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,maximum_16_time,maximum_16_cycle,maximum_16_perms,maximum_16_planes,maximum_16_split,maximum_2_time,maximum_2_cycle,maximum_2_perms,maximum_2_planes,maximum_2_split,maximum_4_time,maximum_4_cycle,maximum_4_perms,maximum_4_planes,maximum_4_split,maximum_8_time,maximum_8_cycle,maximum_8_perms,maximum_8_planes,maximum_8_split
230,480,8573.0,0.7812071999069303,maximum,0.80967149999924,9501.0,860,3,,0.07357070001307875,12107.0,680,9,,0.14432449999731034,10749.0,668,5,,0.3418591000372544,10253.0,775,3,
231,463,7528.0,0.7681586999678984,maximum,0.8063638999592513,8200.0,844,3,,0.07565100002102554,10482.0,640,9,,0.13378180004656315,9344.0,634,5,,0.34346470003947616,9056.0,752,3,
232,462,7617.0,0.7360835999716073,maximum,0.7605410000542179,8209.0,791,3,,0.07017319998703897,10451.0,631,9,,0.14110809995327145,9385.0,635,5,,0.3259842999977991,9089.0,728,3,
233,484,8742.0,0.8043141999514773,maximum,0.8082306999713182,9654.0,830,3,,0.07052489998750389,12154.0,660,9,,0.13309020001906902,10846.0,651,5,,0.33752780000213534,10222.0,746,3,
234,476,8218.0,0.7433588999556378,maximum,0.7214242999907583,8842.0,806,3,,0.07193869992624968,11766.0,675,9,,0.14329000003635883,10358.0,675,5,,0.35245540004689246,10026.0,790,3,
235,477,8498.0,0.7497745999135077,maximum,0.7973759999731556,9155.0,810,3,,0.0629703999729827,11612.0,663,9,,0.14770210010465235,10354.0,664,5,,0.3734507999615744,10234.0,768,3,
236,478,8033.0,0.7475512999808416,maximum,0.786258100066334,8673.0,840,3,,0.07513189991004765,11113.0,659,9,,0.1498272999888286,10017.0,666,5,,0.33286329999100417,9697.0,772,3,
237,477,7911.0,0.7674928000196815,maximum,0.8574045000132173,8551.0,843,3,,0.0692934999242425,10653.0,638,9,,0.14132250007241964,9815.0,665,5,,0.31587449996732175,9471.0,734,3,
238,472,8017.0,0.7382748000090942,maximum,0.7701530000194907,8593.0,761,3,,0.06777830002829432,11149.0,647,9,,0.13710719998925924,9717.0,629,5,,0.3509561999235302,9433.0,745,3,
239,481,7999.0,0.7765646000625566,maximum,0.9373867000686005,8623.0,815,3,,0.06974609999451786,10845.0,667,9,,0.14592189993709326,10134.0,681,5,,0.4081468000076711,9828.0,774,3,
240,473,8288.0,0.8755196999991313,maximum,0.9078426000196487,8960.0,849,3,,0.06993470003362745,11586.0,658,9,,0.13574359996709973,10176.0,652,5,,0.3603552000131458,9864.0,772,3,
241,493,8703.0,0.846033199923113,maximum,0.752474500099197,9327.0,831,3,,0.0694371999707073,11975.0,663,9,,0.14691640005912632,10579.0,664,5,,0.42954950011335313,10280.0,759,3,
242,482,8077.0,0.7678387999767438,maximum,0.8052883000345901,8717.0,820,3,,0.0711146000539884,11193.0,656,9,,0.1334717000136152,10089.0,661,5,,0.35910390003118664,9805.0,823,3,
243,479,8302.0,0.7544893999584019,maximum,0.7845507001038641,8942.0,828,3,,0.06912160001229495,11203.0,646,9,,0.1437302998965606,10230.0,658,5,,0.36377910000737756,9926.0,784,3,
244,466,7857.0,0.7355844000121579,maximum,0.8137801999691874,8497.0,826,3,,0.07077780005056411,10703.0,649,9,,0.13875299994833767,9705.0,645,5,,0.35069620003923774,9393.0,764,3,
245,481,8231.0,0.7477585000451654,maximum,0.7288061999715865,8855.0,821,3,,0.07087269995827228,11295.0,663,9,,0.14893380005378276,9959.0,656,5,,0.3668654999928549,9615.0,761,3,
246,473,8266.0,0.7355826999992132,maximum,0.830401899991557,8922.0,844,3,,0.0685492999618873,10966.0,638,9,,0.13288639998063445,10166.0,643,5,,0.3460105999838561,9874.0,806,3,
247,475,8211.0,0.7639320000307634,maximum,0.7812018999829888,8835.0,824,3,,0.07011400000192225,11111.0,637,9,,0.1527446999680251,9895.0,648,5,,0.35233099991455674,9763.0,745,3,
248,485,8030.0,0.7568824000190943,maximum,0.8242893000133336,8654.0,822,3,,0.06995649996679276,11022.0,641,9,,0.1363870999775827,9770.0,634,5,,0.3170241001062095,9446.0,728,3,
249,472,8496.0,0.7338624999392778,maximum,0.8497638000408188,9584.0,941,3,,0.07150850002653897,11858.0,673,9,,0.14416030002757907,10880.0,681,5,,0.335470600053668,10136.0,776,3,
250,480,8356.0,0.7420607999665663,maximum,0.8402132999617606,9348.0,849,3,,0.06926680007018149,11828.0,665,9,,0.13765869999770075,10577.0,649,5,,0.3558704999741167,10020.0,760,3,
251,477,8022.0,0.760422799969092,maximum,0.8582107999827713,8694.0,851,3,,0.07575059996452183,10884.0,651,9,,0.140755100059323,9836.0,656,5,,0.35395399993285537,9452.0,742,3,
252,468,8107.0,0.8375811000587419,maximum,0.7836433000629768,8731.0,809,3,,0.07994339999277145,11393.0,671,9,,0.14079279999714345,10083.0,655,5,,0.34679580002557486,9795.0,805,3,
253,485,8327.0,0.7781586000928655,maximum,0.8792845000280067,9031.0,886,3,,0.07117699994705617,11601.0,674,9,,0.13717820006422698,10471.0,674,5,,0.35422610002569854,10167.0,795,3,
254,470,7533.0,0.7301800999557599,maximum,0.6974898999324068,8093.0,720,3,,0.06683059991337359,10245.0,619,9,,0.1328196000540629,9361.0,607,5,,0.31758120004087687,9005.0,716,3,
255,481,7999.0,0.8346174000762403,maximum,0.8688083000015467,8719.0,856,3,,0.07865949999541044,11477.0,658,9,,0.14083980000577867,10107.0,657,5,,0.3642841000109911,9823.0,796,3,
256,478,8642.0,0.7708635999588296,maximum,0.7843193999724463,9314.0,872,3,,0.07051829993724823,11834.0,659,9,,0.14544430002570152,10626.0,660,5,,0.362718400079757,10250.0,787,3,
257,474,8002.0,0.7179431000258774,maximum,0.7825378999114037,8611.0,787,3,,0.06686230003833771,10976.0,634,9,,0.13347320002503693,9810.0,638,5,,0.3138431999832392,9530.0,735,3,
258,464,7927.0,0.7330480000237003,maximum,0.7651875000447035,8535.0,790,3,,0.07513220002874732,11091.0,642,9,,0.14454490004573017,9743.0,634,5,,0.3549864999949932,9439.0,743,3,
259,481,8100.0,0.7476340000284836,maximum,0.7618215000256896,8740.0,857,3,,0.07637639995664358,11128.0,665,9,,0.13399560004472733,10196.0,671,5,,0.34433859994169325,9829.0,756,3,
260,470,8245.0,0.7493370000738651,maximum,0.8097511000232771,8885.0,795,3,,0.07194630010053515,11383.0,656,9,,0.14154250000137836,10283.0,653,5,,0.3514106000075117,9964.0,771,3,
261,475,8360.0,0.7661550999619067,maximum,0.8171073000412434,9128.0,844,3,,0.07602919999044389,11702.0,671,9,,0.1472648000344634,10336.0,659,5,,0.34447050001472235,9960.0,753,3,
262,486,8297.0,0.7861685000825673,maximum,0.7682139000389725,9145.0,797,3,,0.07050349994096905,11827.0,664,9,,0.13594129995908588,10457.0,639,5,,0.3226242000237107,9849.0,747,3,
